"","Review_No.","Brand","type_of_ramen","Style","Country","Stars"
"366",366,"Payless","Pancit Shanghai","Pack","Philippines",2.75
"367",367,"Saigon Ve Wong","Kung Fu Artificial Chicken","Pack","Vietnam",3.25
"368",368,"Knorr","Chili Pork","Cup","Thailand",3.5
"369",369,"Bon Go Jang","Tofu Udon Dosirak","Tray","South Korea",3.75
"370",370,"Fuku","Superior Soup","Pack","Hong Kong",5
"371",371,"Nissin","Chow Noodles Alfredo","Tray","USA",3.75
"372",372,"Noodle Time","Spicy Thai","Bowl","Canada",0.5
"373",373,"Nissin","Cup Noodles Chicken Vegetable","Cup","USA",2.75
"374",374,"Vifon","Asian Style Instant Noodles Shrimp","Pack","Vietnam",3.75
"375",375,"Vifon","Pho Bo Beef Rice Noodle","Pack","Vietnam",0.5
"376",376,"Sau Tao","Noodle King Lobster Thick","Bowl","Hong Kong",2.75
"377",377,"Sau Tao","Ho Fan Abalone Chicken","Bowl","Hong Kong",4
"378",378,"Ve Wong","Hot Of Hots Artificial Satay Beef","Bowl","Taiwan",3.75
"379",379,"Nissin","Chow Mein Thai Peanut","Tray","USA",2.5
"380",380,"Rhee Bros Assi","Pho Vietnamese Noodle Soup","Tray","South Korea",3.75
"381",381,"Saigon Ve Wong","Kung Fu Artificial Beef Rice Noodle","Pack","Vietnam",4.25
"382",382,"Lucky Me!","N-Rich Artificial Chicken With Ginger","Pack","Philippines",2.5
"383",383,"Lucky Me!","Chicken Na Chicken","Pack","Philippines",2.75
"384",384,"Nissin","Demae Iccho Tom Yam Goong Macaroni","Pack","Japan",4
"385",385,"Ve Wong","Hot Of Hots Artificial Black Peppered Beef","Bowl","Taiwan",1.25
"386",386,"US Canning","Fu Chang Chinese Noodle Company Pork Seafood","Tray","USA",0
"387",387,"Nissin","Bowl Noodles Rich & Savory Beef","Bowl","USA",3.75
"388",388,"Maruchan","Instant Lunch Cheddar Cheese","Cup","USA",2.75
"389",389,"Mama","Vegetarian Tom Yum","Pack","Thailand",2.75
"390",390,"Menraku","Curry Soba","Bowl","Japan",4
"391",391,"Myojo","Hyoubanya No Chukasoba Oriental","Pack","Japan",4.25
"392",392,"Nissin","Yakisoba Noodles Karashi","Tray","Japan",5
"393",393,"Kamfen","Dried Mix Noodles XO Sauce","Tray","China",2
"394",394,"Paldo","Hwa Cup Hot Spicy","Cup","South Korea",3.5
"395",395,"Ottogi","Jin Ramen (Mild)","Cup","South Korea",3
"396",396,"Vina Acecook","Bestcook Hot spicy Tom Yum Shrimp","Bowl","Vietnam",4.25
"397",397,"Quickchow","Quickie Mami La Paz Batchoy","Cup","Philippines",3
"398",398,"Paldo","Bowl Noodle Beef With Vegetables","Bowl","South Korea",3.75
"399",399,"Paldo","Spicy Seafood","Cup","South Korea",3.75
"400",400,"Nissin","Cup Noodles Seafood Curry","Cup","Hong Kong",4.25
"401",401,"Myojo","Suudon Desse Soy Sauce","Bowl","Japan",4.25
"402",402,"Sao Tao","Noodle King Scallop Thick","Bowl","Hong Kong",3
"403",403,"Maruchan","Instant Lunch Lime Flavor with Shrimp","Cup","USA",2.25
"404",404,"Vina Acecook","Hao Hao Sate Onion","Pack","Vietnam",3.75
"405",405,"Ibumie","Harmee Prawn","Pack","Malaysia",3.25
"406",406,"Vifon","Asian Style Instant Noodles Beef","Pack","Vietnam",3.75
"407",407,"Ottogi","Snack Ramyon","Cup","South Korea",3.5
"408",408,"Gomex","3 Mien Mi Tom Chua Cay Hot sour Shrimp","Pack","Vietnam",2.25
"409",409,"Payless","Instant Mami Chicken","Pack","Philippines",4
"410",410,"Lucky Me!","Instant Bulalo Bone Marrow","Pack","Philippines",3.75
"411",411,"Sunlee","Crab Vermicelli","Bowl","Thailand",3.25
"412",412,"Maruchan","Midori No Tanuki","Bowl","Japan",4.125
"413",413,"Souper","Alimentary Paste Chow Mein","Pack","Taiwan",4.25
"414",414,"Doll","Artificial Beef Flavor","Pack","Hong Kong",2.5
"415",415,"Ve Wong","Artificial Classic Beef","Bowl","Taiwan",3.75
"416",416,"Sapporo Ichiban","Chicken Flavor","Cup","USA",3.75
"417",417,"Vifon","Tu Quy Spicy Beef","Pack","Vietnam",3.5
"418",418,"iNoodle","Udon Noodle Soup Oriental","Pack","Taiwan",3.75
"419",419,"Myojo","Ramen Desse Shio","Bowl","Japan",4.25
"420",420,"Sapporo Ichiban","Beef Flavorc","Cup","USA",3.5
"421",421,"Myojo","Kakesoba Desse Soy Sauce","Bowl","Japan",2.75
"422",422,"Vifon","Mi Lau Thai Thai Stle","Bowl","Vietnam",4
"423",423,"Noodle Time","Shin Cup","Cup","South Korea",3
"424",424,"Q","Noodle With Sesame Sauce","Pack","Taiwan",3.25
"425",425,"Chikara","Shrimp Udon","Pack","USA",4.5
"426",426,"Vifon","Tu quy Chicken","Pack","Vietnam",3
"427",427,"Koka","Mi Hai Cua Crab Flavor","Pack","Singapore",5
"428",428,"Kamfen","E Menm Chicken","","China",3.75
"429",429,"Quickchow","Chicken Mami","Pack","Philippines",3.75
"430",430,"Quickchow","Pancit Canton toyo Mansi","Pack","Philippines",5
"431",431,"Unif / Tung-I","Chinese Onion Rice Noodle","Pack","Taiwan",2.75
"432",432,"Ve Wong","Instant Bean Thread Seafood","Bowl","Taiwan",2.5
"433",433,"Lucky Me!","Supreme Bulalo","Bowl","Philippines",3.25
"434",434,"Mi Sedaap","Kari Spesial","Pack","Indonesia",4.5
"435",435,"Mi Sedaap","Mie Sambal Goreng","Pack","Indonesia",4.25
"436",436,"Unif","Artificial Beef With Sauerkraut","Bowl","Taiwan",3.75
"437",437,"Nongshim","Big Bowl Spicy Kimchi","Bowl","South Korea",3.25
"438",438,"Samyang","Beef","Bowl","South Korea",3.75
"439",439,"Little Cook","Tom Yum Seafood Creamy","Bowl","Thailand",3
"440",440,"Maruchan","Instant Lunch Hot spicy Beef","Cup","USA",2.75
"441",441,"Ottogi","Spice Seafood","Pack","South Korea",3.75
"442",442,"Nongshim","Kalguksoo","Pack","South Korea",4.5
"443",443,"Lucky Me!","N-Rich Chicken Tinola","Pack","Philippines",4
"444",444,"Mr. Udon","Chicken","Pack","South Korea",3.25
"445",445,"iNoodle","Taiwan Style Chow Mein","Pack","Taiwan",2.25
"446",446,"Sao Tao","Noodle King Hong Koing Style Wonton","Bowl","Hong Kong",2.25
"447",447,"Ve Wong","Little Prince Bacon","Pack","Vietnam",4.75
"448",448,"Ve Wong","Kung Fu Artificial Sesame Chicken","Bowl","Taiwan",3.75
"449",449,"Wu Mu","Beef Flavor Ramen","Pack","Taiwan",4.25
"450",450,"Ottogi","Ppushu Ppushu Tteobokki","Pack","South Korea",3.25
"451",451,"Myojo","Ippeichan Soybean Paste","Bowl","Japan",4
"452",452,"Myojo","Hyoubanya No Chukasoba Soy Sauce","Pack","Japan",4
"453",453,"Nongshim","Bowl Noodle Savory Chicken","Bowl","USA",3.25
"454",454,"Koyo","Asian Vegetable","Pack","USA",1.5
"455",455,"Baijia","Single Noble Pickled Radish & Duck","Cup","China",0.25
"456",456,"Ve Wong","Kung Fu Artificial Szechuan Pork","Bowl","Taiwan",3.75
"457",457,"Ibumie","Harmee Mee goreng Prawn","Pack","Malaysia",4.5
"458",458,"Ve Wong","Kung Fu Artificial Beef Rice Noodle","Bowl","Taiwan",3.75
"459",459,"Gefen","Imitation Chicken Vegetarian","Pack","USA",3
"460",460,"Menraku","Tempura Udon","Bowl","Japan",5
"461",461,"Samyang","Sutah Hot Spicy Beef","Pack","South Korea",3.5
"462",462,"Nissin","Top Ramen Shrimp","Pack","USA",3.5
"463",463,"Ottogi","Ppushu Ppushu Barbecue","Pack","South Korea",3
"464",464,"Mama","Vegetable","Pack","Thailand",3.25
"465",465,"Nissin","Souper Meal Picante Shrimp Hot Spicy","Bowl","USA",2.75
"466",466,"Saigon Ve Wong","Kung Fu Rice Noodle Artificial Beef","Bowl","Vietnam",3.5
"467",467,"Vifon","Tu Quy Sour Spicy Shrimp","Pack","Vietnam",1.75
"468",468,"Paldo","Snack Noodle slightly Hot","Pack","South Korea",3.75
"469",469,"Gefen","Chicken","Pack","USA",3.5
"470",470,"Maruchan","Ramen Noodle Soup Chicken Mushroom","Pack","USA",3.25
"471",471,"Koyo","Lemongrass ginger","Pack","USA",1.5
"472",472,"Thai Kitchen","Spring Onion Rice Noodle","Bowl","USA",3.75
"473",473,"Myojo","Ramen-Desse Miso Soybean Paste","Bowl","Japan",4.5
"474",474,"Saigon Ve Wong","Kung Fu Rice Noodle Shrimp Crab ","Bowl","Vietnam",3.75
"475",475,"Gefen","Vegetable","Pack","USA",3.25
"476",476,"Annie Chun's","Teriyaki Noodle","Bowl","USA",1.75
"477",477,"Mr. Udon","Malaysian Beef Udon","Pack","South Korea",3
"478",478,"Vedan","Mushroom & Artificial Cuttlefish","Pack","Taiwan",1.75
"479",479,"Nongshim","Potato Noodle Soup","Pack","South Korea",3.75
"480",480,"Thai Kitchen","Mushroom Rice Noodle","Bowl","USA",3.25
"481",481,"Thai Kitchen","Roasted Garlic Rice Noodle","Bowl","USA",3.75
"482",482,"Menraku","Shio","Bowl","Japan",4.5
"483",483,"Itomen","Yellow Buckwheat","Bowl","Japan",4.5
"484",484,"Ottogi","Bekse Curry Myon","Cup","South Korea",4.25
"485",485,"Ottogi","Hot & Spicy Ramen","Cup","South Korea",3
"486",486,"Kamfen","Japanese U-Don Lobster Scallop","Pack","China",3
"487",487,"Kailo","Big Bowl Artificial Chicken","Bowl","Hong Kong",2.75
"488",488,"Kailo","Big Bowl Crab ","Bowl","Hong Kong",3.5
"489",489,"JML","Stew Pork","Pack","China",3.25
"490",490,"Foodmon","DJ DOC Instant rice Ramen Topokki","Bowl","South Korea",5
"491",491,"JML","Artificial Stew Beef","Pack","China",3.75
"492",492,"Noah Foods","Phoya Rice Noodles Beef","Bowl","Vietnam",2.75
"493",493,"Pulmuone","Fresh Ramen Spicy","Pack","South Korea",3
"494",494,"Snapdragon","Tomato Seafood Rice Noodle","Cup","Singapore",3.5
"495",495,"Ottogi","Jin Ramen (Mild)","Pack","South Korea",3.25
"496",496,"Maruchan","Yakisoba Shrimp","Tray","USA",2.75
"497",497,"Nissin","Demae Iccho Seafood & Abalone Macaroni","Pack","Japan",4
"498",498,"Hsin Tung Yang","Tiny Noodle With Oyster Flavor","Pack","Taiwan",0
"499",499,"Dragonfly","Artificial Beef","Bowl","China",4.75
"500",500,"Mexi-Ramen","Soupless Ramen Shallot Teriyaki","Pack","USA",2.5
"501",501,"Nongshim","Neoguri Mild","Pack","South Korea",3.25
"502",502,"Sunlee","Beef Rice Stick","Bowl","Thailand",2
"503",503,"GreeNoodle","Miso","Pack","Thailand",1
"504",504,"Knorr","Pizza","Pack","Pakistan",3
"505",505,"JML","Artificial Spicy Beef","Pack","China",3.5
"506",506,"Nongshim","Oolongmen Beef","Cup","South Korea",2.5
"507",507,"Dragonfly","Artificial Seafood","Bowl","China",3.75
"508",508,"Samyang","Beef","Cup","South Korea",3.75
"509",509,"Ve Wong","Kung Fu Shrimp","Bowl","Taiwan",4
"510",510,"Snapdragon","South Korean Kimchi Rice Noodle","Cup","Singapore",3.75
"511",511,"Menraku","Miso","Bowl","Japan",2.75
"512",512,"Paldo","Big Bowl Noodle","Bowl","South Korea",3.75
"513",513,"Dragonfly","Artificial Onion","Bowl","China",4
"514",514,"Shirakiku","Sanukiya Fresh Spicy Ramen","Bowl","Japan",3
"515",515,"Tradition","Imitation Beef","Cup","USA",2.5
"516",516,"Wang","Champong Spicy Seafood","Bowl","South Korea",3.5
"517",517,"Thai Kitchen","Thai Ginger Rice Noodle","Pack","USA",4.25
"518",518,"Dragonfly","Artificial Chicken","Bowl","China",4.5
"519",519,"Snapdragon","Beijing Vegetable Rice Noodle","Cup","Singapore",2
"520",520,"Nan Hsing","Vegetarian Rice Noodles","Bowl","Taiwan",0.25
"521",521,"Menraku","Soy Sauce","Bowl","Japan",4.25
"522",522,"Samyang","Hot Beef","Pack","South Korea",4.25
"523",523,"Dragonfly","Artificial Hot & Sour Shrimp","Bowl","China",4.5
"524",524,"Nissin","Cup Noodles Spicy Seafood","Cup","Hong Kong",3.75
"525",525,"JML","Artificial Spicy Hot Beef","Pack","China",3.75
"526",526,"Annie Chun's","Soy Ginger Ramen","Pack","USA",1.5
"527",527,"Little Cook","Wheat Gluten Stewed Duck Flavoured","Bowl","Thailand",2.75
"528",528,"Unox","Good Noodles Vegetable","Pack","Holland",3.75
"529",529,"Sapporo Ichiban","Hot Spicy Chicken","Pack","USA",2
"530",530,"Mee Jang","Artificial Shrimp Tom yum","Bowl","Thailand",3.5
"531",531,"Yum Yum","Beef","Pack","Thailand",3.25
"532",532,"Doll","Spicy Tomkotsu","Pack","Hong Kong",4.25
"533",533,"Paldo","Gomtang","Pack","South Korea",4.75
"534",534,"Mama","Pho Ga","Pack","Thailand",3.1
"535",535,"Wai Wai","Chicken Flavor","Pack","Thailand",0.9
"536",536,"Ottogi","Yeul Ramyun","Pack","South Korea",4.25
"537",537,"Mama","Pad Kee Mao Drunken","Pack","Thailand",2
"538",538,"Lucky Me!","Lomi Seafood Vegetable","Pack","Philippines",0.5
"539",539,"Nissin","Demae Ramen Chicken","Pack","Japan",3
"540",540,"Nissin","Top Ramen Chicken","Pack","USA",3.25
"541",541,"Yum Yum","Chicken","Pack","Thailand",3.5
"542",542,"Mi Sedaap","Mi SupArtificial Chicken Special","Pack","Indonesia",3
"543",543,"Menraku","Curry Udon","Bowl","Japan",4.75
"544",544,"Unox","Good Noodles Chicken","Pack","Holland",3.5
"545",545,"Golden Wheat","South Korean Style Spicy Beef","Pack","China",3.5
"546",546,"Yum Yum","Vegetable","Pack","Thailand",3.5
"547",547,"Lucky Me!","Pancit Canton Sweet Spicy","Pack","Philippines",5
"548",548,"Pot Noodle","Original Curry","Cup","UK",3.75
"549",549,"Mi Sedaap","Supreme Soto","Pack","Indonesia",4
"550",550,"Nissin","Taisho Fried Noodle Yakisoba","Pack","Japan",4.25
"551",551,"Batchelors","Super Noodles Chicken","Pack","UK",3.25
"552",552,"Super Bihun","Kuah Rasa Baso Sapi Rice Noodles","Pack","Indonesia",3
"553",553,"Samyang","60 Ingredients","Cup","South Korea",2.75
"554",554,"Yum Yum","Shrimp Tom Yum Flavor","Pack","Thailand",3.5
"555",555,"Batchelors","Super Noodles Chinese Chow Mein","Pack","UK",2.75
"556",556,"Mi Sedaap","Mi Goreng Perisa Asli","Pack","Indonesia",4.75
"557",557,"Batchelors","Super Noodles Souther Fried Chicken","Pack","UK",3.75
"558",558,"Long Kow","Crystal Noodles Vegetables","Bowl","China",1.5
"559",559,"Wai Wai","Quick Tom Yum Shrimp","Cup","Thailand",3
"560",560,"Myojo","Ippeichan Soy Sauce","Bowl","Japan",4
"561",561,"Sahmyook","Vegetable","Pack","South Korea",3.25
"562",562,"Batchelors","Super Noodles Bacon","Pack","UK",4.25
"563",563,"Yum Yum","Duck","Pack","Thailand",3.25
"564",564,"Uni-President","One More Cup Kimchi","Cup","Taiwan",3.75
"565",565,"Batchelors","Super Noodles To Go Curry","Bowl","UK",4
"566",566,"Foodmon","DJ DOC Jjolmyeon","Bowl","South Korea",5
"567",567,"Goku Uma","Soy Sauce","Bowl","Japan",3.5
"568",568,"Paldo","Gomtang","Cup","South Korea",4
"569",569,"Saigon Ve Wong","Kung Fu Suc Song Artificial Pork","Bowl","Vietnam",3
"570",570,"O Sung","Keopnurungji Rice Snack","Cup","South Korea",2.5
"571",571,"Shirakiku","Japanese Style Tokusen Sio","Pack","Japan",3.25
"572",572,"Maruchan","Yakisoba Tomato Basil","Tray","USA",3
"573",573,"Noah Foods","Phoya Chicken","Bowl","Vietnam",2
"574",574,"Maggi","2 Minute Noodles Tricky Tomato","Pack","India",3.75
"575",575,"Batchelors","Super Noodles Barbecue Beef","Pack","UK",3.5
"576",576,"Menraku","Tempura Soba","Bowl","Japan",3.75
"577",577,"Pot Noodle","Chinese Chow Mein","Cup","UK",3
"578",578,"Nongshim","Shin Ramyun Black","Pack","South Korea",4.75
"579",579,"Baijia","Sichuan Pickled Sweet Potato Thread","Pack","China",1.75
"580",580,"Baijia","Hot & Sour Casserole Stewed Rice Noodle","Pack","China",0
"581",581,"Koyo","Mushroom","Pack","USA",2.75
"582",582,"Koyo","Tofu & Miso","Pack","USA",2.5
"583",583,"Vifon","Phu Gia Cua Crab Bean Thread","Pack","Vietnam",2.25
"584",584,"Baijia","Single Noble Black Bone Chicken Sweet Potato Thread","Cup","China",0
"585",585,"Ve Wong","Artificial Onion Flavor Bean Thread","Bowl","Taiwan",1.5
"586",586,"Vedan","Bah Kut Tea Noodle For Vegetarians","Pack","Taiwan",3.25
"587",587,"Sunlight","Steam Vermicelli","Pack","Taiwan",2.1
"588",588,"Vifon","Tu Quy Pork","Pack","Vietnam",2.75
"589",589,"Vifon","South Korean Style Kim Chee","Bowl","Vietnam",4.25
"590",590,"Mama","Chand Clear Soup","Bowl","Thailand",3.5
"591",591,"Batchelors","Super Noodles To Go Chinese Space Rib","Bowl","UK",2.5
"592",592,"Batchelors","Super Noodles Mild Curry","Pack","UK",3.25
"593",593,"Nongshim","Chapagetti Chajang","Pack","South Korea",4
"594",594,"Haioreum","Asian Style Noodles Seafood","Bowl","South Korea",3.5
"595",595,"Thai Kitchen","Spring Onion Rice Noodle","Pack","USA",3.75
"596",596,"Thai Kitchen","Lemongrass Chili Rice Noodle","Pack","USA",1.5
"597",597,"Batchelors","Super Noodles Sweet & sour","Pack","UK",3.5
"598",598,"Little Cook","Vegetarian","Cup","Thailand",3.25
"599",599,"Lucky Me!","Pancit Canton Extra Hot Chili","Pack","Philippines",4
"600",600,"Maruchan","Ramen Noodle Soup Beef","Pack","USA",3.25
"601",601,"Wei Chuan","Tomato Vegetables","Pack","Taiwan",4
"602",602,"Nongshim","Oolongmen Artificial Seafood","Cup","South Korea",3.5
"603",603,"Wei Lih","Goog Good Eat Super Ramen Hot Chili","Pack","Taiwan",3.75
"604",604,"Batchelors","Super Noodles Low Fat Chicken Herb","Pack","UK",2
"605",605,"Little Cook","Artificial Onion","Cup","Thailand",3.5
"606",606,"Six Fortune","U-Dong","Pack","South Korea",4
"607",607,"Pot Noodle","Beef Tomato","Cup","UK",1.5
"608",608,"Koka","Spicy Black Pepper","Pack","Singapore",5
"609",609,"Wei Wei","""A"" Series Artificial Hot Beef","Pack","Taiwan",3.75
"610",610,"Wei Wei","""A"" Series Artificial Chicken","Pack","Taiwan",3.25
"611",611,"Batchelors","Super Noodles Low Fat Sweet Thai Chilli","Pack","UK",2
"612",612,"Maruchan","Yakisoba Spicy Chicken","Tray","USA",1.75
"613",613,"Saigon Ve Wong","Kung Fu Artificial Pork Flavor","Bowl","Vietnam",3
"614",614,"Fuku","Superior Soup Rice Noodle","Pack","Hong Kong",2.5
"615",615,"Yamamori","Tom Yam Prawn","Pack","Japan",4.5
"616",616,"Maggi","2 Minute Noodles Thrillin' Curry","Pack","India",2
"617",617,"Nissin","Demae Iccho Sesame Oil Chicken Macaroni","Pack","Japan",3.75
"618",618,"Pulmuone","Cold Noodles By Dad","Pack","South Korea",2.75
"619",619,"Yamamoto","Ponpoko Tempura Udon","Bowl","Japan",4.75
"620",620,"Vifon","Phu Gia Bamboo Shoot Artificial Pork Bean Thread","Pack","Vietnam",1.25
"621",621,"Ottogi","Jin Ramen Big Bowl (Hot)","Bowl","South Korea",3.5
"622",622,"Daikoku","My Friend Vic Tanuki Udon","Bowl","Japan",4.75
"623",623,"Wei Wei","""A"" Series Vegetarian","Pack","Taiwan",3.25
"624",624,"Master Kong","Artificial Pork","Pack","China",3.75
"625",625,"Pot Noodle","Bombay Bad Boy","Cup","UK",4
"626",626,"Ottogi","Yeul Hot Taste","Bowl","South Korea",3.5
"627",627,"Omachi","Spaghetti","Pack","Vietnam",3.75
"628",628,"Lucky Me!","Supreme La Paz Batchoy Beef Garlic","Bowl","Philippines",3.5
"629",629,"Master Kong","Artificial Braised Beef","Pack","China",4.25
"630",630,"Ve Wong","Kung Fu Artificial Mushroom Pork","Bowl","Taiwan",1.25
"631",631,"Fashion Foods","XO Sauce","Bowl","Thailand",1.25
"632",632,"Mr. Udon","Japanese Miso","Pack","South Korea",2.75
"633",633,"Mr. Udon","Seafood Selection","Pack","South Korea",3.5
"634",634,"Baijia","Sichuan Hot Pot Sweet Potato Thread","Bowl","China",0.5
"635",635,"Ottogi","Buckwheat Bibim Ramyon","Pack","South Korea",1.1
"636",636,"Yamamori","Tom Yam Ramen Pork","Pack","Japan",4.75
"637",637,"Snapdragon","Chinese Mushroom Rice Noodle","Cup","Singapore",2.5
"638",638,"GreeNoodle","Yakisoba","Pack","Thailand",3
"639",639,"Nissin","Gozen Kitsune Udon","Bowl","Japan",5
"640",640,"Master Kong","Artificial Spicy Beef","Pack","China",4.25
"641",641,"Vina Acecook","Hao Hao Shrimp Onion","Pack","Vietnam",3
"642",642,"Little Cook","Spicy Beef","Cup","Thailand",2.75
"643",643,"Wei Chuan","Miso Vegetables","Pack","Taiwan",3.25
"644",644,"Sura","Knife Cut Rice Noodle","Bowl","South Korea",3.75
"645",645,"Nongshim","Oolongmen Artificial Chicken","Cup","South Korea",3.75
"646",646,"Yamamoto","Shoyu","Bowl","Japan",4.25
"647",647,"Sunlee","Tom Yum Shrimp Noodle","Bowl","Thailand",3.5
"648",648,"Nongshim","Seafood Ramyun","Pack","South Korea",3.75
"649",649,"Pot Noodle","Chicken & Mushroom","Cup","UK",3.75
"650",650,"Dragonfly","Artificial Chicken","Pack","China",4
"651",651,"Mi Sedaap","Mi Segera Mi Sup Perisa Kari Ayam","Pack","Indonesia",4
"652",652,"Sapporo Ichiban","Shio","Pack","Japan",5
"653",653,"Dragonfly","Artificial Pork Ribs","Pack","China",4
"654",654,"Mee Jang","Sour Spicy Chicken Tom Yum","Bowl","Thailand",3.25
"655",655,"Cap Atoom Bulan","Mie Telor Asli","Pack","Indonesia",3
"656",656,"Nissin","Ramen Bowl Hot & Spicy","Bowl","USA",3.75
"657",657,"Dragonfly","Onion","Pack","China",3.75
"658",658,"Paldo","Hwa King Cup","Cup","South Korea",3.5
"659",659,"Nissin","Ramen Bowl Spicy Shrimp","Bowl","USA",3
"660",660,"Lucky Me!","Beef Na Beef","Pack","Philippines",3.75
"661",661,"Yamamoto","Ponpoko Tempura Soba","Bowl","Japan",4.25
"662",662,"Daikoku","Shokuh Kitsune Udon","Bowl","Japan",4.25
"663",663,"Paldo","Jjajangmen Black Bean","Pack","South Korea",4
"664",664,"Thai Kitchen","Bangkok Curry Rice Noodle","Pack","USA",2.75
"665",665,"Mama","Moo Nam Tok Rice Vermicelli","Pack","Thailand",3.25
"666",666,"Lishan","Black Rooster Chicken","Pack","Taiwan",1.5
"667",667,"Nissin","Ramen Bowl Kimchi","Bowl","USA",3
"668",668,"Saigon Ve Wong","Kung Fu Vegetarian","Bowl","Vietnam",2
"669",669,"Nissin","Gozen Tempura","Bowl","Japan",4
"670",670,"Saigon Ve Wong","Kung Fu Artificial Chicken Rice Noodle","Bowl","Vietnam",3.5
"671",671,"Mug Shot","Spicy Sweet & Sour","Pack","UK",3
"672",672,"Mug Shot","Chicken","Pack","UK",3
"673",673,"Ohsung","Hong Ramyun Soup Soy Peptide Mild","Pack","South Korea",3.25
"674",674,"Paldo","Kko Kko Myun","Pack","South Korea",5
"675",675,"Samyang","Nagasaki Jjampong","Pack","South Korea",4.75
"676",676,"Indomie","Spicy Coconut Shrimp","Pack","Indonesia",4.75
"677",677,"Nongshim","Shin Ramyun Shrimp","Pack","China",4.5
